キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
時間帯,曜日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価
1,水曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0
1,土曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,※終了※02_一般,0,4,0.00%,JPY,0,0,0.00,0,0
1,月曜日,※終了※02_一般,0,6,0.00%,JPY,0,0,0.00,0,0
1,火曜日,※終了※02_一般,0,5,0.00%,JPY,0,0,0.00,0,0
1,水曜日,※終了※02_一般,0,8,0.00%,JPY,0,0,0.00,0,0
1,木曜日,※終了※02_一般,1,12,8.33%,JPY,1081,1081,0.00,0.00%,0
1,金曜日,※終了※02_一般,0,5,0.00%,JPY,0,0,0.00,0,0
1,土曜日,※終了※02_一般,2,10,20.00%,JPY,1527,3053,0.41,20.51%,7444
1,月曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック複合KW,1,2,50.00%,JPY,1165,1165,0.00,0.00%,0
1,月曜日,02_一般／リースバック複合KW,0,3,0.00%,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック複合KW,0,3,0.00%,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック単一KW,1,15,6.67%,JPY,2076,2076,0.00,0.00%,0
1,金曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般｜リースバック＋比較,0,2,0.00%,JPY,0,0,0.00,0,0
1,月曜日,02_一般｜リースバック＋比較,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般｜リースバック＋比較,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般｜リースバック＋比較,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般｜リースバック＋比較,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／リースバック-部分一致,2,60,3.33%,JPY,1246,2492,0.00,0.00%,0
1,月曜日,02_一般／リースバック-部分一致,3,62,4.84%,JPY,487,1461,0.00,0.00%,0
1,火曜日,02_一般／リースバック-部分一致,3,18,16.67%,JPY,383,1149,0.00,0.00%,0
1,水曜日,02_一般／リースバック-部分一致,2,27,7.41%,JPY,412,824,0.00,0.00%,0
1,木曜日,02_一般／リースバック-部分一致,0,16,0.00%,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致,2,37,5.41%,JPY,212,423,0.00,0.00%,0
1,土曜日,02_一般／リースバック-部分一致,5,53,9.43%,JPY,510,2550,0.00,0.00%,0
1,日曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,木曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,金曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,土曜日,02_一般／リースバック-部分一致｜再構築,0,0,0,JPY,0,0,0.00,0,0
1,日曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
1,月曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
1,火曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
1,水曜日,02_一般／地域,0,0,0,JPY,0,0,0.00,0,0
